 ,birthdays,party,department,office,title,field,male/female,question,answer
,3/28/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Get rid of it
,4/2/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,4/3/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,8/19/1999 4:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,12/20/1998 5:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Get rid of it
,5/16/2002 4:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,F,What are your thoughts on the federal minimum wage?,Get rid of it
,8/25/2002 4:00:00 AM,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Get rid of it
,3/12/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Get rid of it
,3/31/2004 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/21/1999 12:00:00 AM,Republican,U.S. Senate,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,10/7/1997 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,12/5/2001 5:00:00 AM,Republican,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,7/12/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/14/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,7/15/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,1/17/1986 12:00:00 AM,Republican,U.S. Senate,,,Policy,F,What are your thoughts on the federal minimum wage?,Get rid of it
,,Republican,U.S. House of Representatives,,,Administrative,F,What are your thoughts on the federal minimum wage?,Keep it the same
,,Republican,U.S. Senate,,,Administrative,F,What are your thoughts on the federal minimum wage?,Keep it the same
,3/30/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,4/4/1999 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,10/13/1992 12:00:00 AM,Republican,U.S. House of Representatives,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,3/31/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,4/1/1999 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,3/26/2001 12:00:00 AM,Republican,U.S. Senate,,,Administrative,M,What are your thoughts on the federal minimum wage?,Keep it the same
,5/19/2002 4:00:00 AM,Republican,U.S. Senate,,,Communicators,F,What are your thoughts on the federal minimum wage?,Keep it the same
,5/18/2002 4:00:00 AM,,U.S. House of Representatives,,,Communicators,M,What are your thoughts on the federal minimum wage?,Keep it the same
,12/30/2000 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,F,What are your thoughts on the federal minimum wage?,Keep it the same
,3/30/2004 12:00:00 AM,Republican,U.S. House of Representatives,,,Other,M,What are your thoughts on the federal minimum wage?,Keep it the same
,,Republican,U.S. House of Representatives,,,Policy,M,What are your thoughts on the federal minimum wage?,Keep it the same
